track_id,poet,lyrics,lyrics source,disc_number,duration_ms,explicit,track_name,track_name_farsi,artist_name,artist_name_farsi,popularity,track_number,album_href,album_id,album_name,album_release_date,album_total_tracks,album_release_year,track_href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode,artist_id,lyrics,poet,lyric source,genre
3DHj5UhGYy6xOP9zMgMLgZ,NA,NA,NA,1,217152,FALSE,Lailaye Man,لیلای من,Salar Aghili,سالار عقیلی,NA,9,NA,09Hepb4NioQ6sO87tsDyiz,Negar,2019-10-30,NA,2019,https://api.spotify.com/v1/tracks/3DHj5UhGYy6xOP9zMgMLgZ,0.355,0.365,7,-8.407,0,0.0492,0.877,0,0.12,0.33,69.079,3,G,minor,G minor,NA,,,,
278iWlDnx3BcpoVv8S6lXD,NA,NA,NA,1,259320,FALSE,Lovely Moon,NA,Salar Aghili,سالار عقیلی,NA,1,NA,2NuuKOvGFQmiRFVwanFO7S,In the Realm of Love,2019-06-08,NA,2019,https://api.spotify.com/v1/tracks/278iWlDnx3BcpoVv8S6lXD,0.614,0.561,0,-5.11,0,0.0323,0.863,0,0.183,0.788,119.819,3,C,minor,C minor,NA,,,,
1JgtKOAraQF7OZnytCQ8Mk,NA,NA,NA,1,278386,FALSE,Eternal Tavern (from Khangah's Songs),NA,Salar Aghili,سالار عقیلی,NA,2,NA,2NuuKOvGFQmiRFVwanFO7S,In the Realm of Love,2019-06-08,NA,2019,https://api.spotify.com/v1/tracks/1JgtKOAraQF7OZnytCQ8Mk,0.356,0.389,7,-9.475,0,0.053,0.855,5.92E-05,0.374,0.339,196.876,3,G,minor,G minor,NA,,,,
66GCnatCuqGbNsqMjD0J6R,NA,NA,NA,1,304066,FALSE,My Sweetheart (from Khangah's Songs),NA,Salar Aghili,سالار عقیلی,NA,3,NA,2NuuKOvGFQmiRFVwanFO7S,In the Realm of Love,2019-06-08,NA,2019,https://api.spotify.com/v1/tracks/66GCnatCuqGbNsqMjD0J6R,0.36,0.501,7,-6.169,0,0.0326,0.766,0,0.112,0.481,99.118,3,G,minor,G minor,NA,,,,
7a7E1ZvvRADizC1dVFEzUG,NA,NA,NA,1,211573,FALSE,Memory of Sweetheart,NA,Salar Aghili,سالار عقیلی,NA,4,NA,2NuuKOvGFQmiRFVwanFO7S,In the Realm of Love,2019-06-08,NA,2019,https://api.spotify.com/v1/tracks/7a7E1ZvvRADizC1dVFEzUG,0.362,0.548,0,-9.913,0,0.0696,0.526,0.869,0.143,0.965,192.199,3,C,minor,C minor,NA,,,,
1l03N8HZLNRxm4FCkrFHmc,NA,NA,NA,1,499453,FALSE,In the Realm of Love,NA,Salar Aghili,سالار عقیلی,NA,5,NA,2NuuKOvGFQmiRFVwanFO7S,In the Realm of Love,2019-06-08,NA,2019,https://api.spotify.com/v1/tracks/1l03N8HZLNRxm4FCkrFHmc,0.672,0.266,0,-13.321,0,0.0312,0.854,0.0046,0.108,0.358,106.091,4,C,minor,C minor,NA,,,,
6xoXtdRU5eKry81xfeHPBq,NA,NA,NA,1,296373,FALSE,All my passions,NA,Salar Aghili,سالار عقیلی,NA,6,NA,2NuuKOvGFQmiRFVwanFO7S,In the Realm of Love,2019-06-08,NA,2019,https://api.spotify.com/v1/tracks/6xoXtdRU5eKry81xfeHPBq,0.547,0.54,7,-8.253,0,0.0763,0.728,0,0.262,0.752,142.452,3,G,minor,G minor,NA,,,,
1BXdCbdiOiVupg4PhtrTJp,NA,NA,NA,1,183666,FALSE,Jange-ra Mode,NA,Salar Aghili,سالار عقیلی,NA,7,NA,2NuuKOvGFQmiRFVwanFO7S,In the Realm of Love,2019-06-08,NA,2019,https://api.spotify.com/v1/tracks/1BXdCbdiOiVupg4PhtrTJp,0.427,0.568,2,-9.251,1,0.138,0.145,0.954,0.247,0.313,202.46,3,D,major,D major,NA,,,,
6rsGxQwUkf3vNuSM3X36oQ,NA,NA,NA,1,579280,FALSE,Wisdom and Love (from Sahari Majnooni Mode),NA,Salar Aghili,سالار عقیلی,NA,8,NA,2NuuKOvGFQmiRFVwanFO7S,In the Realm of Love,2019-06-08,NA,2019,https://api.spotify.com/v1/tracks/6rsGxQwUkf3vNuSM3X36oQ,0.424,0.483,8,-7.212,1,0.0363,0.665,1.67E-04,0.109,0.395,109.2,4,G#,major,G# major,NA,,,,
7zz7gA0XY4P0lIPS0A0O0s,NA,NA,NA,1,264040,FALSE,The Last Word,NA,Salar Aghili,سالار عقیلی,NA,1,NA,25RKw0R0ToNdTVgY44Qv7f,The Last Word,2019-03-18,NA,2019,https://api.spotify.com/v1/tracks/7zz7gA0XY4P0lIPS0A0O0s,0.244,0.298,2,-9.55,0,0.0407,0.791,0.00462,0.277,0.212,173.597,4,D,minor,D minor,NA,,,,
