X1,word,lang,poet,century,text
18211,پیش‌تر,fa,مهدی اخوان ثالث,14,پیش‌تر
16144,زمزمه,fa,مهدی اخوان ثالث,14,زمزمه
621,شکوه,fa,مهدی اخوان ثالث,14,شکوه
7478,چشم,fa,مهدی اخوان ثالث,14,چشم
7879,زهره،,fa,مهدی اخوان ثالث,14,زهره،
17314,گشاده,fa,مهدی اخوان ثالث,14,گشاده
15077,زنده‌ای،,fa,مهدی اخوان ثالث,14,زنده‌ای،
10545,واکند,fa,مهدی اخوان ثالث,14,واکند
1745,کوچه,fa,مهدی اخوان ثالث,14,کوچه
9085,حرمان‌ها,ar,مهدی اخوان ثالث,14,حرمان‌ها
8274,وحشت,ar,مهدی اخوان ثالث,14,وحشت
11295,مکن,fa,مهدی اخوان ثالث,14,مکن
4651,سیل,fa,مهدی اخوان ثالث,14,سیل
4770,بخوان!,fa,مهدی اخوان ثالث,14,بخوان!
10491,ِ,fa,مهدی اخوان ثالث,14,ِ
14306,چهرهٔ,fa,مهدی اخوان ثالث,14,چهرهٔ
9477,جلوه,ar,مهدی اخوان ثالث,14,جلوه
8985,مجو،,ar,مهدی اخوان ثالث,14,مجو،
6637,پرسم,fa,مهدی اخوان ثالث,14,پرسم
5943,خست,fa,مهدی اخوان ثالث,14,خست
2173,تهی،,fa,مهدی اخوان ثالث,14,تهی،
1402,دریغ!,fa,مهدی اخوان ثالث,14,دریغ!
17714,گوزن‌ها,fa,مهدی اخوان ثالث,14,گوزن‌ها
3038,مأمور,ar,مهدی اخوان ثالث,14,مأمور
17744,صیاد,ar,مهدی اخوان ثالث,14,صیاد
16043,شور,fa,مهدی اخوان ثالث,14,شور
1149,بهشت،,fa,مهدی اخوان ثالث,14,بهشت،
11380,اشک,fa,مهدی اخوان ثالث,14,اشک
11436,ست,fa,مهدی اخوان ثالث,14,ست
8422,کار,fa,مهدی اخوان ثالث,14,کار
15063,مانده,fa,مهدی اخوان ثالث,14,مانده
3499,غوکهای,fa,مهدی اخوان ثالث,14,غوکهای
9698,پردهٔ,fa,مهدی اخوان ثالث,14,پردهٔ
8956,مبتدای,ar,مهدی اخوان ثالث,14,مبتدای
1369,خو,fa,مهدی اخوان ثالث,14,خو
15012,آلودگی‌هاست,fa,مهدی اخوان ثالث,14,آلودگی‌هاست
15237,زدهٔ,fa,مهدی اخوان ثالث,14,زدهٔ
11863,خواب,fa,مهدی اخوان ثالث,14,خواب
14538,دلی,fa,مهدی اخوان ثالث,14,دلی
1277,رقعه,ar,مهدی اخوان ثالث,14,رقعه
13775,توک,fa,مهدی اخوان ثالث,14,توک
5109,دریایی,fa,مهدی اخوان ثالث,14,دریایی
3853,ست,fa,مهدی اخوان ثالث,14,ست
13550,تشویش,fa,مهدی اخوان ثالث,14,تشویش
10797,شمعم,ar,مهدی اخوان ثالث,14,شمعم
17416,چشیدی,fa,مهدی اخوان ثالث,14,چشیدی
6052,کرد،,fa,مهدی اخوان ثالث,14,کرد،
10225,سرشت،,fa,مهدی اخوان ثالث,14,سرشت،
10544,بامداد,fa,مهدی اخوان ثالث,14,بامداد
5144,دست,fa,مهدی اخوان ثالث,14,دست
7634,پوشید,fa,مهدی اخوان ثالث,14,پوشید
11723,اهل,fa,مهدی اخوان ثالث,14,اهل
3346,غمبار,ar,مهدی اخوان ثالث,14,غمبار
4819,دلجو,ar,مهدی اخوان ثالث,14,دلجو
17253,سرم,fa,مهدی اخوان ثالث,14,سرم
5289,مسکین,fa,مهدی اخوان ثالث,14,مسکین
681,پیش‌تر,fa,مهدی اخوان ثالث,14,پیش‌تر
4455,بام,fa,مهدی اخوان ثالث,14,بام
13602,صحراست,ar,مهدی اخوان ثالث,14,صحراست
17432,بیمار,fa,مهدی اخوان ثالث,14,بیمار
17673,نشاط,ar,مهدی اخوان ثالث,14,نشاط
2570,ما،,ar,مهدی اخوان ثالث,14,ما،
17464,مهری,fa,مهدی اخوان ثالث,14,مهری
7512,پای,fa,مهدی اخوان ثالث,14,پای
14772,دیدار,fa,مهدی اخوان ثالث,14,دیدار
5766,لکن,fa,مهدی اخوان ثالث,14,لکن
1991,اختر,fa,مهدی اخوان ثالث,14,اختر
13182,غمگین,fa,مهدی اخوان ثالث,14,غمگین
7393,ما،,ar,مهدی اخوان ثالث,14,ما،
10280,ِ,fa,مهدی اخوان ثالث,14,ِ
6510,نالید,ar,مهدی اخوان ثالث,14,نالید
16231,مرغک,fa,مهدی اخوان ثالث,14,مرغک
13149,کسب,fa,مهدی اخوان ثالث,14,کسب
349,سره‌ها،,fa,مهدی اخوان ثالث,14,سره‌ها،
2717,جگرخراش,fa,مهدی اخوان ثالث,14,جگرخراش
11450,درد,fa,مهدی اخوان ثالث,14,درد
4788,خواندی،,fa,مهدی اخوان ثالث,14,خواندی،
3633,اندوه,fa,مهدی اخوان ثالث,14,اندوه
13371,خنده،,fa,مهدی اخوان ثالث,14,خنده،
15066,قندیل‌ها,ar,مهدی اخوان ثالث,14,قندیل‌ها
5525,آجین,fa,مهدی اخوان ثالث,14,آجین
12567,تشنگان،,fa,مهدی اخوان ثالث,14,تشنگان،
3716,راه‌ها,fa,مهدی اخوان ثالث,14,راه‌ها
9725,گشته,fa,مهدی اخوان ثالث,14,گشته
14637,خویشت,fa,مهدی اخوان ثالث,14,خویشت
1404,فریاد,fa,مهدی اخوان ثالث,14,فریاد
16180,دستم,fa,مهدی اخوان ثالث,14,دستم
5938,بیزار,fa,مهدی اخوان ثالث,14,بیزار
14913,ِ,fa,مهدی اخوان ثالث,14,ِ
7908,قبیله,ar,مهدی اخوان ثالث,14,قبیله
11937,بصیرت,ar,مهدی اخوان ثالث,14,بصیرت
12366,سحر,ar,مهدی اخوان ثالث,14,سحر
12964,ازین,fa,مهدی اخوان ثالث,14,ازین
2521,کنندگان,fa,مهدی اخوان ثالث,14,کنندگان
17907,خون,fa,مهدی اخوان ثالث,14,خون
7145,غریب,ar,مهدی اخوان ثالث,14,غریب
9384,ست,fa,مهدی اخوان ثالث,14,ست
649,گل,fa,مهدی اخوان ثالث,14,گل
9701,بوم,fa,مهدی اخوان ثالث,14,بوم
44,خون‌ها,fa,مهدی اخوان ثالث,14,خون‌ها
11369,چشم،,fa,مهدی اخوان ثالث,14,چشم،
15302,ور,fa,مهدی اخوان ثالث,14,ور
6440,همبازی,fa,مهدی اخوان ثالث,14,همبازی
3133,گرگی,fa,مهدی اخوان ثالث,14,گرگی
5064,باغی,ar,مهدی اخوان ثالث,14,باغی
5586,ثقبه,ar,مهدی اخوان ثالث,14,ثقبه
14157,بود،,fa,مهدی اخوان ثالث,14,بود،
1371,برف؟,fa,مهدی اخوان ثالث,14,برف؟
8921,غرقه،,ar,مهدی اخوان ثالث,14,غرقه،
1571,راندشان,fa,مهدی اخوان ثالث,14,راندشان
7987,می‌خندید,fa,مهدی اخوان ثالث,14,می‌خندید
10067,همدرد،,fa,مهدی اخوان ثالث,14,همدرد،
9733,دروغین,fa,مهدی اخوان ثالث,14,دروغین
3829,بیدار,fa,مهدی اخوان ثالث,14,بیدار
15209,فرخنده,fa,مهدی اخوان ثالث,14,فرخنده
14004,چاک,fa,مهدی اخوان ثالث,14,چاک
12126,بال‌ها,fa,مهدی اخوان ثالث,14,بال‌ها
9928,غم,ar,مهدی اخوان ثالث,14,غم
14433,برکند,fa,مهدی اخوان ثالث,14,برکند
15335,افتد،,fa,مهدی اخوان ثالث,14,افتد،
8392,چرک,fa,مهدی اخوان ثالث,14,چرک
5729,عادل,ar,مهدی اخوان ثالث,14,عادل
16235,پرید،,fa,مهدی اخوان ثالث,14,پرید،
16707,جوار,fa,مهدی اخوان ثالث,14,جوار
153,گوش,fa,مهدی اخوان ثالث,14,گوش
1063,لانهٔ,fa,مهدی اخوان ثالث,14,لانهٔ
16936,پستوی,fa,مهدی اخوان ثالث,14,پستوی
18206,آفاق,ar,مهدی اخوان ثالث,14,آفاق
14974,شهرک,fa,مهدی اخوان ثالث,14,شهرک
3111,همرهان,fa,مهدی اخوان ثالث,14,همرهان
12134,آشفته,fa,مهدی اخوان ثالث,14,آشفته
2017,زهره,fa,مهدی اخوان ثالث,14,زهره
862,لبم,ar,مهدی اخوان ثالث,14,لبم
5533,طبل,ar,مهدی اخوان ثالث,14,طبل
4900,دشت,fa,مهدی اخوان ثالث,14,دشت
2661,ظلمتی,ar,مهدی اخوان ثالث,14,ظلمتی
17532,انگشتری,fa,مهدی اخوان ثالث,14,انگشتری
